Name,Team,Pos,Opp,Salary,SS Proj,Own,Adj Own,p25,p50,p75,p85,p95,p99,Status
Kyle Williams,NE,WR,at JAX,3400,3.80,0.25,0.11,0.0,2.7,5.7,7.8,11.9,17.0,
Tommy Tremble,CAR,TE,at CLE,2500,3.75,0.12,0.05,1.1,2.8,5.3,7.4,11.6,16.5,
Mike Washington Jr.,LV,RB,at NO,4100,3.69,,0.00,1.3,2.6,4.8,7.5,10.9,16.2,
Chris Moore,BAL,WR,at DAL,3100,3.68,1.00,0.65,0.0,2.9,5.5,7.6,11.7,16.5,
Raheim Sanders,CLE,RB,vs CAR,4500,3.67,0.02,0.01,1.3,2.8,4.9,6.9,10.7,15.1,
Dawson Knox,BUF,TE,vs LAC,2800,3.65,0.09,0.03,0.0,2.2,5.1,8.1,12.7,18.1,
Jacob Cowing,SF,WR,vs ARI,3300,3.63,0.26,0.12,0.0,2.4,5.2,7.7,12.0,17.4,
Emanuel Wilson,SEA,RB,at WAS,4900,3.61,,0.00,1.0,2.2,4.9,7.9,10.9,16.4,
LaJohntay Wester,BAL,WR,at DAL,3000,3.58,0.76,0.46,0.0,3.1,5.3,7.6,10.8,14.3,
Chargers,LAC,DST,at BUF,2200,3.49,0.76,0.50,0.0,3.0,6.0,8.0,12.0,18.0,
Bryce Lance,NO,WR,vs LV,3000,3.49,0.33,0.16,0.0,2.2,5.0,7.7,12.3,17.7,
Najee Harris,NYG,RB,vs TEN,4700,3.43,,0.00,1.3,2.4,4.3,6.5,10.4,15.7,
Kyle Juszczyk,SF,RB,vs ARI,4000,3.32,0.01,0.00,0.0,1.9,4.4,7.6,11.9,17.1,
Noah Gray,KC,TE,at MIA,3000,3.22,0.02,0.00,0.0,1.9,4.5,7.3,11.6,17.0,
Cardinals,ARI,DST,at SF,2300,3.07,0.34,0.18,0.0,2.0,5.0,8.0,12.0,17.0,
Dolphins,MIA,DST,vs KC,2000,2.94,0.41,0.23,0.0,2.0,5.0,7.0,11.0,16.0,
Eli Raridon,NE,TE,at JAX,2900,2.93,0.06,0.02,0.0,1.8,4.1,6.5,10.7,14.7,Q
Dyami Brown,WAS,WR,vs SEA,3200,2.91,0.02,0.00,0.0,2.0,4.2,5.8,9.8,14.7,
Ty Johnson,BUF,RB,vs LAC,4000,2.90,0.03,0.01,0.5,2.0,4.0,5.7,9.6,13.7,
Eli Heidenreich,PIT,RB,vs CIN,4000,2.89,,0.00,0.9,2.1,3.8,5.3,9.1,12.9,
Foster Moreau,HOU,TE,at IND,2500,2.74,0.07,0.02,0.0,1.8,3.8,5.5,10.4,15.1,
Ben Sinnott,WAS,TE,vs SEA,2600,2.72,0.03,0.01,0.0,1.8,3.8,5.3,9.6,14.1,
Theo Johnson,NYG,TE,vs TEN,2700,2.70,0.01,0.00,0.0,1.6,3.6,5.7,11.2,16.1,
Travis Homer,PIT,RB,vs CIN,4000,2.69,,0.00,0.7,1.8,3.5,5.1,9.2,12.8,
Emari Demercado,DAL,RB,vs BAL,4200,2.60,0.01,0.00,0.6,1.8,3.3,4.8,9.0,12.8,
Luke Farrell,SF,TE,vs ARI,2500,2.59,0.05,0.01,0.0,1.7,3.5,5.0,9.7,14.0,
John Bates,WAS,TE,vs SEA,2500,2.54,0.01,0.00,0.0,1.7,3.7,5.1,8.9,13.2,
Daniel Bellinger,TEN,TE,at NYG,2500,2.45,0.02,0.00,0.0,1.7,3.5,4.9,9.0,13.2,
Elijah Arroyo,SEA,TE,at WAS,2500,2.44,0.02,0.00,0.0,1.5,3.3,5.1,10.0,14.7,
Erick All Jr.,CIN,TE,at PIT,2500,2.39,0.02,0.00,0.0,1.6,3.4,4.8,9.1,12.8,
Drew Sample,CIN,TE,at PIT,2600,2.36,,0.00,0.0,1.6,3.3,4.5,8.6,12.6,
Ryan Miller,MIA,WR,vs KC,3200,2.35,0.07,0.02,0.0,1.6,3.5,5.0,8.4,12.7,Q
