Name,Team,Pos,Opp,Salary,SS Proj,Own,Adj Own,p25,p50,p75,p85,p95,p99,Status
Baker Mayfield,TB,QB,vs MIN,5300,16.32,1.20,1.17,11.2,15.6,20.5,23.5,29.1,36.1,
Justin Jefferson,MIN,WR,at TB,7500,16.26,4.08,3.93,9.7,14.7,21.6,25.9,33.1,41.9,
Drew Lock,SEA,QB,at WAS,5200,16.23,1.45,1.44,11.4,15.4,20.2,23.1,28.7,35.7,
Kyler Murray,MIN,QB,at TB,5100,17.38,3.82,3.82,12.1,16.5,21.7,25.0,31.1,38.2,
Geno Smith,NYJ,QB,at DET,4900,15.56,6.35,6.44,10.6,14.9,19.7,22.7,27.8,34.2,
Breece Hall,NYJ,RB,at DET,6400,15.44,8.73,8.87,9.3,13.9,20.0,23.8,31.6,40.4,
Chuba Hubbard,CAR,RB,at CLE,6100,15.31,12.18,12.83,9.1,13.9,20.0,23.8,31.0,40.0,
Javonte Williams,DAL,RB,vs BAL,6700,15.30,3.93,3.70,9.2,14.0,20.0,23.6,30.4,39.1,
Garrett Wilson,NYJ,WR,at DET,6300,15.16,14.58,16.28,8.8,14.0,20.4,24.1,31.1,38.5,
Parker Washington,JAX,WR,vs NE,6000,15.08,16.02,18.34,8.5,13.6,20.4,24.6,31.9,40.2,
Zay Flowers,BAL,WR,at DAL,6900,15.06,6.42,6.53,8.4,13.6,20.5,24.8,32.1,40.7,Q
Malik Willis,MIA,QB,vs KC,4900,14.91,0.78,0.72,9.9,14.1,19.1,22.0,27.4,34.3,
Jacoby Brissett,ARI,QB,at SF,4800,14.75,0.52,0.48,9.9,14.0,18.7,21.6,27.1,33.1,
Daniel Jones,IND,QB,vs HOU,5000,14.72,0.49,0.45,9.9,14.1,18.7,21.6,26.6,33.0,
George Pickens,DAL,WR,vs BAL,6600,14.62,6.07,6.12,8.3,13.1,19.7,23.7,31.0,39.9,
Aaron Rodgers,PIT,QB,vs CIN,5000,14.02,1.15,1.10,9.5,13.2,17.7,20.4,25.9,32.0,
Omarion Hampton,LAC,RB,at BUF,6800,14.00,0.63,0.48,8.2,13.0,18.5,21.9,28.5,37.1,
Tetairoa McMillan,CAR,WR,at CLE,6000,13.90,6.65,6.79,7.8,12.4,18.7,22.7,30.3,38.5,
Jameis Winston,NYG,QB,vs TEN,4000,13.73,0.91,0.80,8.5,12.9,18.0,21.1,26.6,33.6,
Jalen Coker,CAR,WR,at CLE,5500,13.68,17.46,20.00,7.9,12.3,18.3,22.0,29.2,37.8,Q
Aaron Jones Sr.,MIN,RB,at TB,5900,13.58,4.89,4.68,8.0,12.1,17.7,21.2,27.7,36.5,
Bucky Irving,TB,RB,vs MIN,6300,13.57,1.19,0.99,8.2,12.2,17.7,21.2,27.6,35.2,
Kirk Cousins,LV,QB,at NO,4800,13.56,0.32,0.28,8.9,12.9,17.4,20.2,25.0,31.4,
Cam Skattebo,NYG,RB,vs TEN,6200,13.36,1.32,1.08,7.7,11.7,17.4,21.2,28.5,37.4,
Tee Higgins,CIN,WR,at PIT,6100,13.32,3.86,3.64,7.0,11.6,18.3,22.3,30.2,39.3,
Dalton Schultz,HOU,TE,at IND,4200,13.28,24.98,29.45,7.7,11.8,17.4,21.2,28.6,36.5,
Jadarian Price,SEA,RB,at WAS,5300,13.28,8.81,8.99,7.8,11.5,17.0,20.9,27.9,36.8,
Marcus Mariota,WAS,QB,vs SEA,4500,13.19,0.16,0.13,8.4,12.3,16.9,19.8,25.2,32.4,
Quinshon Judkins,CLE,RB,vs CAR,5500,13.11,5.87,5.73,7.7,11.7,17.0,20.5,27.2,35.4,
Dalton Kincaid,BUF,TE,vs LAC,5500,13.07,4.85,4.69,7.1,11.6,17.6,21.4,28.8,38.0,
Ladd McConkey,LAC,WR,at BUF,5900,13.07,6.27,6.35,7.1,11.9,17.4,21.3,28.4,37.7,
Travis Kelce,KC,TE,at MIA,4500,13.00,16.22,18.52,7.0,11.7,17.4,20.9,28.5,37.3,
Malik Nabers,NYG,WR,vs TEN,6500,12.93,0.75,0.56,7.0,11.3,17.1,21.4,29.0,37.9,
Cam Ward,TEN,QB,at NYG,5100,12.91,,0.16,8.3,12.3,16.8,19.4,24.3,30.1,
Jameson Williams,DET,WR,vs NYJ,5400,12.74,10.36,11.44,6.3,11.1,17.6,21.6,29.8,39.1,
Rashee Rice,KC,WR,at MIA,6400,12.69,1.86,1.59,6.8,11.5,17.2,20.7,27.9,36.2,
Mike Evans,SF,WR,vs ARI,6800,12.57,0.52,0.35,6.2,11.1,17.3,21.3,28.8,38.3,Q
DK Metcalf,PIT,WR,vs CIN,5400,12.52,8.16,8.57,6.9,11.2,16.6,20.5,27.6,35.9,
Tyler Warren,IND,TE,vs HOU,5300,12.50,2.37,2.09,6.9,11.2,16.5,20.1,27.2,35.5,
Josh Downs,IND,WR,vs HOU,5700,12.28,2.85,2.60,6.9,10.9,16.1,20.0,27.3,36.5,
Brock Bowers,LV,TE,at NO,6600,12.03,0.10,0.06,6.6,10.8,16.0,19.4,26.3,35.1,Q
Emeka Egbuka,TB,WR,vs MIN,6200,12.01,0.61,0.43,6.2,10.6,16.1,20.3,27.4,35.8,
Travis Etienne Jr.,NO,RB,vs LV,5800,11.97,1.82,1.55,7.0,10.5,15.6,18.9,25.5,33.5,
Sam LaPorta,DET,TE,vs NYJ,4300,11.93,14.97,17.05,6.3,10.4,16.0,19.7,27.3,36.2,
Mark Andrews,BAL,TE,at DAL,4400,11.83,11.38,12.49,6.1,10.7,16.1,19.6,26.3,35.1,
Bhayshul Tuten,JAX,RB,vs NE,5600,11.74,2.09,1.79,6.6,10.3,15.5,18.6,24.9,32.9,
George Kittle,SF,TE,vs ARI,4800,11.70,6.21,6.21,5.9,10.2,15.8,19.5,27.3,36.9,
DJ Moore,BUF,WR,vs LAC,5800,11.47,1.55,1.27,5.9,10.3,15.8,19.2,26.2,34.9,Q
Devaughn Vele,NO,WR,vs LV,4400,11.32,15.71,18.40,5.9,9.9,15.1,19.2,26.5,35.4,
Jeremiyah Love,ARI,RB,at SF,5500,11.18,0.99,0.76,6.2,9.7,14.7,18.0,24.4,32.1,
Deebo Samuel Sr.,SF,WR,vs ARI,5300,11.07,2.47,2.18,5.8,9.9,14.9,18.4,24.9,33.2,
David Montgomery,HOU,RB,at IND,6000,10.91,0.10,0.06,5.9,9.4,14.5,17.7,24.3,32.1,
Khalil Shakir,BUF,WR,vs LAC,4800,10.76,7.54,7.88,5.6,9.7,14.7,18.2,24.2,31.9,
Adonai Mitchell,NYJ,WR,at DET,4300,10.66,13.55,15.66,5.2,9.6,14.5,18.0,24.7,33.1,Q
Isaiah Likely,NYG,TE,vs TEN,4700,10.64,1.48,1.18,5.4,9.0,14.1,18.0,25.5,34.9,
Rhamondre Stevenson,NE,RB,at JAX,5400,10.61,0.54,0.40,6.1,9.6,14.2,16.8,22.0,29.0,
Denzel Boston,CLE,WR,vs CAR,4500,10.60,9.10,9.83,5.3,9.4,14.4,18.0,24.8,33.7,
Michael Wilson,ARI,WR,at SF,5200,10.60,1.41,1.13,5.3,9.5,14.3,17.5,24.3,32.7,
Hunter Henry,NE,TE,at JAX,3900,10.52,11.23,12.26,5.5,9.5,14.4,17.3,22.7,30.7,
Rashod Bateman,BAL,WR,at DAL,4700,10.43,6.03,6.09,4.9,9.4,14.6,17.7,24.3,32.6,
Xavier Worthy,KC,WR,at MIA,4400,10.40,9.16,9.91,5.1,9.0,14.3,17.6,24.1,33.0,
Tony Pollard,TEN,RB,at NYG,5400,10.23,0.33,0.22,5.7,8.9,13.7,16.3,22.0,29.1,
KC Concepcion Jr.,CLE,WR,vs CAR,4300,9.91,8.00,8.40,5.3,8.9,13.3,16.2,22.4,31.0,
TreVeyon Henderson,NE,RB,at JAX,5200,9.78,0.58,0.40,5.1,8.7,13.2,16.0,21.4,28.4,
Pat Freiermuth,PIT,TE,vs CIN,3800,9.62,5.57,5.48,5.1,8.5,13.0,15.8,21.4,29.0,
Tre Tucker,LV,WR,at NO,5000,9.56,2.40,2.08,4.7,8.4,13.1,16.1,22.2,30.6,
Oronde Gadsden II,LAC,TE,at BUF,3500,9.52,8.80,9.34,4.6,8.1,13.2,16.2,22.4,31.6,
Harold Fannin Jr.,CLE,TE,vs CAR,4000,9.52,2.65,2.32,4.9,8.4,13.0,15.8,21.5,29.0,
Chiefs,KC,DST,at MIA,3700,9.49,9.38,10.63,5.0,9.0,13.0,16.0,20.0,27.0,
Terry McLaurin,WAS,WR,vs SEA,5100,9.45,0.51,0.34,4.6,8.5,13.0,15.9,21.6,29.1,
Malik Washington,MIA,WR,vs KC,4200,9.39,5.56,5.54,4.9,8.3,12.8,15.6,21.1,28.4,
Xavier Hutchinson,HOU,WR,at IND,4000,9.35,8.27,8.81,4.5,8.2,12.9,15.9,22.0,30.3,
Romeo Doubs,NE,WR,at JAX,5100,9.27,0.48,0.31,4.4,8.5,12.8,15.7,21.3,28.5,
Juwan Johnson,NO,TE,vs LV,3700,9.26,5.66,5.57,4.5,7.9,12.7,15.7,21.9,30.1,
Alvin Kamara,NO,RB,vs LV,4800,9.23,0.92,0.69,5.0,8.0,12.4,15.0,20.3,26.7,
Carnell Tate,TEN,WR,at NYG,5000,9.20,0.44,0.28,4.4,8.1,12.8,15.7,21.3,29.5,
Jakobi Meyers,JAX,WR,vs NE,4800,9.20,1.10,0.83,4.4,8.1,12.7,15.6,21.7,29.4,
Jordan Addison,MIN,WR,at TB,4900,9.18,1.17,0.88,4.2,7.9,12.8,15.9,21.9,31.0,
Keenan Allen,IND,WR,vs HOU,4600,9.10,1.04,0.78,4.5,7.8,12.6,15.5,21.4,29.4,
Stefon Diggs,WAS,WR,vs SEA,5500,8.99,0.03,0.01,4.7,7.9,12.1,14.8,20.6,28.4,
Brian Thomas Jr.,JAX,WR,vs NE,4600,8.93,1.15,0.85,3.8,7.6,12.5,15.8,22.8,31.7,
Chris Godwin Jr.,TB,WR,vs MIN,5300,8.88,0.03,0.01,4.4,7.8,12.2,14.9,20.8,28.3,
Quentin Johnston,LAC,WR,at BUF,4900,8.75,0.54,0.34,3.5,7.4,12.6,15.8,21.9,31.4,
Kayshon Boutte,HOU,WR,at IND,4500,8.71,0.77,0.52,3.5,7.4,12.6,15.8,22.4,30.6,
Jake Ferguson,DAL,TE,vs BAL,4100,8.61,0.63,0.43,4.2,7.4,11.9,14.7,20.0,28.0,
Rachaad White,WAS,RB,vs SEA,5100,8.56,0.02,0.01,4.8,7.6,11.5,14.0,18.6,24.8,
Tyjae Spears,TEN,RB,at NYG,4900,8.51,0.10,0.05,4.5,7.4,11.6,14.1,18.8,24.3,Q
Tyler Allgeier,ARI,RB,at SF,5000,8.51,0.08,0.04,4.3,7.3,11.6,14.2,19.6,25.9,
T.J. Hockenson,MIN,TE,at TB,3200,8.50,5.88,5.83,4.3,7.4,11.6,14.3,19.2,26.4,
Seahawks,SEA,DST,at WAS,3800,8.41,2.12,1.89,4.0,8.0,12.0,14.0,19.0,26.0,
Wan'Dale Robinson,TEN,WR,at NYG,4500,8.37,0.25,0.15,4.2,7.3,11.6,14.3,19.1,26.2,
Ryan Flournoy,DAL,WR,vs BAL,3800,8.20,4.98,4.86,3.7,7.0,11.6,14.4,19.9,27.1,
Mack Hollins,NE,WR,at JAX,4200,8.12,1.37,1.04,3.5,7.1,11.6,14.3,19.7,26.9,
Woody Marks,HOU,RB,at IND,5000,8.12,0.05,0.02,4.3,6.9,10.8,13.4,18.6,25.9,
Brenton Strange,JAX,TE,vs NE,3400,7.99,2.11,1.73,3.6,6.7,11.2,13.9,19.4,27.0,
Emmett Johnson,KC,RB,at MIA,4400,7.90,0.22,0.12,3.9,6.6,10.7,13.4,18.4,25.1,
Kenyon Sadiq,NYJ,TE,at DET,3500,7.79,1.84,1.47,3.5,6.6,10.9,13.6,18.6,25.5,
Giants,NYG,DST,vs TEN,3400,7.79,3.51,3.42,4.0,7.0,11.0,14.0,18.0,24.0,
Titans,TEN,DST,at NYG,2400,7.71,26.45,38.64,3.0,7.0,11.0,14.0,19.0,25.0,
DeMario Douglas,NE,WR,at JAX,3700,7.67,3.22,2.90,3.4,6.7,10.9,13.5,18.5,25.4,
Rashid Shaheed,SEA,WR,at WAS,4200,7.60,0.40,0.23,3.0,6.3,11.0,13.7,19.2,26.6,
Germie Bernard,PIT,WR,vs CIN,3900,7.56,0.63,0.42,3.4,6.6,10.7,13.2,18.3,25.4,
Tre' Harris,LAC,WR,at BUF,3900,7.56,1.87,1.49,3.0,6.5,10.9,13.8,18.8,27.0,
Cade Otton,TB,TE,vs MIN,3100,7.50,2.85,2.49,3.6,6.4,10.4,12.8,17.6,24.4,
Vikings,MIN,DST,at TB,3100,7.38,5.22,5.47,3.0,6.0,11.0,13.0,18.0,23.0,
Bengals,CIN,DST,at PIT,2900,7.35,6.78,7.47,3.0,6.0,11.0,13.0,18.0,24.0,
49ers,SF,DST,vs ARI,3600,7.35,0.93,0.69,3.0,6.0,10.0,13.0,18.0,24.0,
Jacory Croskey-Merritt,WAS,RB,vs SEA,5300,7.30,0.01,0.00,3.7,5.9,10.2,12.6,16.9,22.0,
Panthers,CAR,DST,at CLE,3000,7.29,4.46,4.53,3.0,7.0,10.3,13.0,17.0,23.0,
Kenny Gainwell,TB,RB,vs MIN,4800,7.20,0.03,0.01,3.2,5.9,10.0,12.6,17.2,23.2,
Marvin Harrison Jr.,ARI,WR,at SF,4700,7.19,0.09,0.04,2.7,6.2,10.3,13.0,18.1,26.2,
Jaguars,JAX,DST,vs NE,2900,7.14,4.99,5.18,3.0,6.0,10.0,13.0,17.0,23.0,
Steelers,PIT,DST,vs CIN,2700,6.98,8.50,9.80,3.0,6.0,10.0,13.0,18.0,24.0,
Bills,BUF,DST,vs LAC,2800,6.98,6.73,7.38,3.0,6.0,10.0,12.0,17.0,24.0,
AJ Barner,SEA,TE,at WAS,3100,6.97,1.25,0.91,2.9,5.7,9.9,12.7,17.5,24.4,
Roman Wilson,PIT,WR,vs CIN,3400,6.93,2.25,1.88,3.0,5.9,9.9,12.6,17.2,23.3,
Justice Hill,BAL,RB,at DAL,4200,6.92,0.16,0.08,3.2,5.8,9.6,11.9,16.6,23.0,
Jaylin Noel,HOU,WR,at IND,3600,6.92,1.43,1.08,2.7,5.9,10.0,12.7,17.6,24.6,
Mike Gesicki,CIN,TE,at PIT,3300,6.70,0.42,0.24,2.7,5.5,9.6,12.1,17.1,24.3,
Raiders,LV,DST,at NO,2600,6.59,4.70,4.82,3.0,6.0,10.0,12.0,17.0,23.0,
