Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
8,5257207628,jugs127 (16/20),0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Devaughn Vele,WR,8.53%,11.4
8,5257207629,jugs127 (17/20),0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Carson Wentz,QB,8.49%,6.32
8,5257207630,jugs127 (18/20),0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Ja'Marr Chase,WR,8.06%,26.5
8,5257207631,jugs127 (19/20),0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Derrick Henry,FLEX,7.30%,17.7
8,5257207632,jugs127 (20/20),0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Emeka Egbuka,WR,7.16%,10.3
8,5259474637,sternzcuse (2/2),0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Christian Watson,WR,6.69%,14.1
8,5262015107,Coatface (2/2),0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,49ers ,DST,6.48%,8
8,5262102944,joecarterfan,0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Christian McCaffrey,FLEX,6.36%,22.6
8,5263067270,liles00,0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Michael Mayer,TE,6.22%,5.3
8,5263246513,DerekO2289 (1/2),0,199.18001,DST Patriots  FLEX Dalton Schultz QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Michael Mayer WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Parker Washington,WR,6.21%,16.8
8,5263272704,DerekO2289 (2/2),0,199.18001,DST Patriots  FLEX Dalton Schultz QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Michael Mayer WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Jaxon Smith-Njigba,WR,6.09%,45.5
8,5263516659,DLRoss (3/3),0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Ashton Jeanty,RB,6.07%,10.3
8,5263826416,ed8802,0,199.18001,DST Patriots  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Terry McLaurin,,Michael Mayer,FLEX,6.01%,5.3
36,5263074125,jefro1959 (14/18),0,197.81999,DST Panthers  FLEX Terry McLaurin QB C.J. Stroud RB Bijan Robinson RB Breece Hall TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Xavier Hutchinson,,Baker Mayfield,QB,5.77%,13.18
37,5261970718,bouey30,0,196.58,DST Jaguars  FLEX CeeDee Lamb QB Brock Purdy RB Derrick Henry RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR Deebo Samuel Sr. WR Jalen Coker,,Bijan Robinson,FLEX,5.51%,11.1
38,5257997506,BayouBandit03,0,195.58,DST Panthers  FLEX Aaron Jones Sr. QB Brock Purdy RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Matthew Golden,,Ravens ,DST,5.42%,3
38,5262958275,michaelshodson (1/3),0,195.58,DST Panthers  FLEX Derrick Henry QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Matthew Golden,,Mike Evans,WR,5.34%,8.4
38,5262958276,michaelshodson (2/3),0,195.58,DST Panthers  FLEX Derrick Henry QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Matthew Golden,,Stefon Diggs,WR,5.27%,21.7
38,5262958277,michaelshodson (3/3),0,195.58,DST Panthers  FLEX Derrick Henry QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Matthew Golden,,Dallas Goedert,TE,5.26%,1.4
